raw/RF12/socket/1/1,home/livingroom/windowright/lamp
raw/RF12/socket/2/1,home/livingroom/tvcorner/lamp
raw/RF12/socket/3/1,home/lab/behindrouter/uvexposer
raw/RF12/socket/4/1,home/diningroom/onbigshelf/lamp
raw/RF12/socket/5/1,home/lab/shelfbydesk/desklamp
raw/RF12/socket/5/2,home/lab/shelfbydesk/uvsafelamp
raw/RF12/socket/5/3,home/lab/shelfbydesk/speakers
raw/RF12/socket/5/4,home/lab/shelfbydesk/empty4
raw/RF12/socket/5/5,home/lab/shelfbydesk/empty5
raw/RF12/sensornode/1,home/balcony/ballustraderight/sensor
raw/RF12/smartmeter,home/hallway/fusebox/smartmeter
